EmployeeID,Name,Gender,Age,Department,JobRole,EducationLevel,JoiningDate,CountryCode,Country,PhoneNumber,MonthlySalary,OvertimeHoursPerMonth,LeavesTaken,LastLeaveDate,LeaveDayName,ProjectsHandled,TrainingHours,CustomerSatisfaction,LastPromotionYear,YearsAtCompany,WorkLifeBalanceScore,PerformanceRating,AttritionRisk
20,Megan Williams,Other,23,Support,Support Engineer,1,2015-05-24,+1,Canada,5598758861,65010,2,29,2024-12-09,Monday,11,12,8.0,2015,10,4.77,3,No
21,Clinton Scott,Female,54,Support,Support Engineer,2,2023-05-26,+91,India,6018284714,75646,20,7,2024-04-10,Wednesday,4,50,8.0,2024,2,4.83,3,No
22,Erin Massey,Other,60,Sales,Sales Executive,1,2011-08-12,+49,Germany,7469986242,130906,18,28,2024-05-20,Monday,8,23,10.0,2013,14,1.73,4,No
23,Ashley Marsh,Male,42,IT,Tester,5,2019-03-15,+1,USA,9273445107,176048,19,17,2024-09-22,Sunday,3,34,,2022,6,3.37,3,No
24,Jasmine Gonzalez,Female,57,IT,Tester,2,2022-05-02,+33,France,7750072723,68060,31,30,2024-05-21,Tuesday,12,15,,2023,3,-1.2,2,Yes
25,Sharon Lane,Other,59,Marketing,Content Lead,4,2020-07-07,+1,USA,1369768938,62282,35,5,2024-04-17,Wednesday,15,63,,2021,5,2.17,4,No
26,David Maldonado,Other,28,Marketing,SEO Analyst,4,2023-12-16,+1,Canada,9674960322,89567,29,13,2024-02-17,Saturday,15,65,,2024,2,2.03,3,No
27,Sheryl Lopez,Other,33,Sales,Sales Executive,4,2014-12-12,+44,UK,1300146507,82449,31,19,2024-10-15,Tuesday,9,36,1.0,2014,11,0.63,4,No
28,Patricia Jones,Female,52,Marketing,Content Lead,4,2021-05-07,+91,India,2775889565,41883,20,11,2024-05-16,Thursday,1,28,,2022,4,4.17,2,No
29,Samantha Conley,Male,46,Finance,Accountant,1,2010-11-06,+1,USA,1008830314,74577,37,11,2024-10-02,Wednesday,6,73,,2012,15,0.77,3,No
30,Matthew Gutierrez,Male,23,Support,Support Engineer,2,2013-10-24,+44,UK,7654890591,104549,38,30,2024-06-07,Friday,6,80,4.0,2022,12,-2.6,4,No
31,Nicholas Duncan,Other,60,IT,Developer,5,2021-12-21,+44,UK,1182033931,74638,39,4,2024-04-03,Wednesday,7,12,,2024,4,1.53,4,No
32,Andrew Contreras,Male,50,Marketing,Content Lead,5,2020-10-19,+1,Canada,2060275944,103189,8,18,2024-11-02,Saturday,4,44,,2023,5,5.4,3,No
33,Ashley Hall,Male,43,IT,Tester,2,2013-06-03,+91,India,0226641433,41254,9,23,2024-02-19,Monday,13,33,,2020,12,4.37,1,No
34,Justin Lawrence,Male,33,IT,Engineer,4,2017-08-05,+49,Germany,7331004145,152027,24,2,2024-01-02,Tuesday,11,7,,2018,8,4.87,3,No
35,Jessica Jones,Male,27,Marketing,SEO Analyst,5,2021-05-26,+1,Canada,1240068862,109614,21,0,2024-07-01,Monday,5,56,,2021,4,5.8,4,No
36,Maria Smith,Male,32,Finance,Auditor,4,2018-08-15,+44,UK,6790929153,38475,25,24,2024-03-15,Friday,7,79,,2024,7,1.0,3,No
37,Bryan Garcia,Male,43,Marketing,Content Lead,2,2019-02-12,+1,Canada,5345996573,72671,32,16,2024-12-09,Monday,5,80,,2023,6,0.93,3,No
38,Breanna Chapman,Male,58,Finance,Accountant,4,2010-04-02,+1,Canada,6629492075,34306,28,14,2024-09-03,Tuesday,8,61,,2023,15,2.07,4,No
39,William Meyer,Other,22,Finance,Auditor,1,2011-03-26,+44,UK,4135695910,73324,21,30,2024-05-08,Wednesday,10,36,,2023,14,0.8,3,No
40,Matthew Maldonado,Male,39,Finance,Auditor,3,2012-05-22,+1,USA,9445734465,163576,12,10,2024-08-16,Friday,10,76,,2016,13,5.93,3,No
41,Julia Cobb,Male,22,Sales,Account Manager,2,2016-10-03,+1,USA,3270385747,49953,14,0,2024-04-18,Thursday,10,78,9.0,2019,9,7.2,3,No
42,Nicholas Oliver,Female,41,Marketing,Content Lead,2,2019-01-06,+49,Germany,5900267155,108906,8,7,2024-01-18,Thursday,7,56,,2024,6,7.23,3,No
43,Whitney Crosby,Male,23,Marketing,Content Lead,5,2010-10-17,+1,Canada,0386542950,78457,7,24,2024-08-19,Monday,6,62,,2022,15,4.6,5,No
44,Carlos Wall,Female,55,IT,Engineer,5,2011-08-05,+1,Canada,7390380839,37533,22,30,2024-02-28,Wednesday,4,61,,2015,14,0.6,4,No
45,Jerry Walker,Female,33,Finance,Accountant,5,2018-02-28,+44,UK,9204861242,171225,23,29,2024-07-26,Friday,8,53,,2024,7,0.57,4,No
46,Charles Le,Male,21,IT,Developer,3,2016-08-15,+91,India,5017239668,101051,34,15,2024-03-24,Sunday,7,49,,2019,9,0.7,1,Yes
47,Amy Peterson PhD,Other,33,Sales,Account Manager,2,2018-07-24,+33,France,1561103832,50654,38,30,2024-05-11,Saturday,1,26,7.0,2018,7,-2.6,4,No
48,Kimberly Campbell,Other,22,Sales,Sales Executive,5,2018-05-17,+44,UK,6058930288,71622,27,26,2024-10-28,Monday,12,20,8.0,2023,7,0.27,4,No
49,Daniel Smith,Male,23,Support,Helpdesk,5,2021-04-07,+1,USA,8855702899,132390,14,16,2024-01-27,Saturday,14,45,2.0,2023,4,4.53,4,No
50,Steve Henry,Female,54,IT,Tester,5,2023-07-12,+44,UK,9174443288,179351,40,23,2024-04-05,Friday,14,18,,2023,2,-1.83,3,No
51,John Logan,Female,57,Sales,Sales Executive,3,2015-06-26,+1,Canada,4338863500,50691,27,13,2024-07-19,Friday,10,21,3.0,2022,10,2.43,4,No
52,Thomas Ellis,Other,52,Support,Support Engineer,2,2011-04-19,+49,Germany,0314499755,163863,37,23,2024-08-12,Monday,3,50,1.0,2016,14,-1.23,4,No
53,Amanda White,Male,36,Marketing,SEO Analyst,1,2021-06-08,+33,France,0856608915,134280,2,3,2024-02-24,Saturday,14,35,,2024,4,9.1,5,No
54,Nicholas Anderson,Female,52,Finance,Auditor,2,2011-09-26,+44,UK,2947126467,38519,6,14,2024-04-14,Sunday,12,64,,2024,14,6.47,2,No
55,Cassandra Knight,Female,35,Finance,Accountant,2,2021-02-11,+1,USA,0195741970,153394,34,12,2024-07-15,Monday,12,5,,2023,4,1.2,3,No
56,Jessica Reeves,Male,48,IT,Developer,1,2018-10-11,+44,UK,6789507803,42964,1,13,2024-11-17,Sunday,5,22,,2018,7,7.63,2,No
57,Mikayla Black,Other,30,IT,Developer,3,2019-07-27,+33,France,3299457293,52745,16,14,2024-10-23,Wednesday,7,41,,2023,6,4.47,1,No
58,Justin Wang,Other,34,Support,Helpdesk,5,2012-07-09,+1,Canada,8177916875,37431,4,8,2024-07-27,Saturday,2,60,9.0,2021,13,7.87,3,No
59,Kevin Moreno,Male,22,Marketing,SEO Analyst,1,2022-01-10,+44,UK,7188076264,124008,28,29,2024-11-06,Wednesday,6,51,,2022,3,-0.43,4,No
60,John Lewis,Male,48,HR,HR Executive,2,2017-11-11,+91,India,8886046083,128442,18,1,2024-11-01,Friday,10,36,,2021,8,6.23,4,No
61,Heather Sosa,Other,57,HR,HR Manager,3,2015-09-14,+1,USA,6140020793,137226,36,1,2024-10-03,Thursday,15,58,,2021,10,2.63,2,Yes
62,Phillip Hunter,Female,48,IT,Tester,5,2020-02-05,+33,France,0485273657,150377,18,19,2024-03-12,Tuesday,8,19,,2022,5,3.23,4,No
63,Courtney Ayala,Female,27,HR,HR Manager,2,2012-04-09,+1,Canada,5522793615,161874,2,7,2024-11-18,Monday,11,53,,2015,13,8.43,5,No
64,Tammy Ramirez,Female,32,Support,Helpdesk,5,2019-02-13,+44,UK,3959946337,39558,19,19,2024-12-21,Saturday,15,50,3.0,2022,6,3.03,3,No
65,James Morgan,Male,60,Sales,Account Manager,1,2013-03-22,+33,France,0823772322,49620,29,4,2024-07-25,Thursday,5,76,4.0,2013,12,3.53,3,No
66,Cody Barker,Female,34,Marketing,Content Lead,3,2021-04-11,+1,Canada,6763147839,86861,30,0,2024-08-10,Saturday,1,25,,2024,4,4.0,3,No
67,David Smith,Female,22,Sales,Sales Executive,3,2023-03-28,+91,India,0941640426,155851,1,30,2024-11-22,Friday,12,44,1.0,2024,2,4.8,4,No
68,Amber Church,Female,21,Sales,Sales Executive,1,2011-01-08,+44,UK,4688879859,72637,31,27,2024-09-04,Wednesday,7,70,6.0,2021,14,-0.7,2,Yes
69,Tammy Perry,Female,26,Sales,Account Manager,1,2012-12-13,+44,UK,9056058680,151643,1,1,2024-01-10,Wednesday,5,35,1.0,2024,13,9.63,4,No
70,Sherry Cox,Female,37,Finance,Accountant,3,2015-06-26,+1,Canada,3583953106,155727,26,30,2024-08-25,Sunday,3,46,,2020,10,-0.2,2,Yes
71,John Turner,Female,55,HR,HR Executive,1,2018-09-18,+1,Canada,9922658683,71487,9,12,2024-08-06,Tuesday,7,39,,2023,7,6.2,5,No
72,Brian Boyle,Female,23,Marketing,Content Lead,3,2011-02-24,+1,Canada,9651175181,169631,0,9,2024-01-01,Monday,7,23,,2012,14,8.5,4,No
73,Peggy Hawkins,Male,29,IT,Developer,5,2021-02-01,+91,India,9350714646,56935,36,29,2024-12-19,Thursday,6,50,,2024,4,-2.03,4,No
74,Jared Montgomery,Female,32,Sales,Sales Executive,3,2023-01-23,+44,UK,2872431941,68664,21,9,2024-11-02,Saturday,14,79,4.0,2023,2,4.3,3,No
75,Thomas Clark,Other,31,IT,Developer,2,2014-01-07,+49,Germany,7739325713,129732,29,2,2024-10-16,Wednesday,11,58,,2016,11,3.87,4,No
76,Kyle Moyer,Female,21,HR,HR Manager,2,2014-05-05,+91,India,5987912952,36008,11,6,2024-11-23,Saturday,5,55,,2016,11,6.8,2,No
77,Crystal Stevens,Other,25,Sales,Sales Executive,2,2013-04-17,+44,UK,6983113185,163071,15,7,2024-09-06,Friday,8,60,5.0,2016,12,5.83,4,No
78,Austin Reynolds,Other,26,Sales,Sales Executive,1,2022-03-28,+49,Germany,2329303422,44713,21,27,2024-08-17,Saturday,2,48,5.0,2024,3,1.3,3,No
79,Teresa Coleman,Male,46,Marketing,Content Lead,3,2021-01-14,+1,USA,7963243733,73718,10,4,2024-12-27,Friday,9,34,,2022,4,7.33,4,No
80,Maria Tucker,Other,47,HR,HR Manager,4,2014-03-24,+91,India,9877000345,142815,21,13,2024-07-16,Tuesday,15,22,,2023,11,3.63,2,Yes
81,Louis Mcknight,Male,43,Support,Helpdesk,4,2014-10-11,+1,Canada,6747697865,82938,18,17,2024-02-21,Wednesday,7,16,4.0,2015,11,3.57,4,No
82,Jerry Jones,Female,22,IT,Engineer,3,2020-07-08,+44,UK,7845291186,32356,15,4,2024-08-09,Friday,12,74,,2020,5,6.33,2,No
83,Erik Liu,Other,28,IT,Developer,5,2020-03-01,+49,Germany,5614254608,150136,31,14,2024-10-09,Wednesday,2,71,,2023,5,1.47,4,No
84,Cynthia Fritz,Female,51,Finance,Auditor,5,2021-04-26,+1,Canada,1695816744,103550,13,23,2024-10-11,Friday,9,53,,2024,4,3.57,3,No
85,Phillip Hayes,Other,31,Sales,Sales Executive,3,2020-07-19,+1,Canada,4238793415,145121,23,22,2024-09-02,Monday,13,34,4.0,2024,5,1.73,2,Yes
86,Jenny Lee,Male,54,Sales,Sales Executive,4,2017-09-06,+49,Germany,1117359071,152976,8,19,2024-03-16,Saturday,9,45,4.0,2024,8,5.23,3,No
87,Jonathan Oliver,Male,44,Support,Support Engineer,4,2020-04-26,+33,France,7176588291,43063,5,9,2024-08-08,Thursday,13,46,4.0,2022,5,7.5,3,No
88,Cynthia Bradley,Male,30,Marketing,Content Lead,2,2013-03-26,+1,Canada,4318486225,33987,21,16,2024-07-14,Sunday,9,57,,2014,12,3.13,4,No
89,David Johnson,Female,44,Marketing,SEO Analyst,3,2014-04-06,+91,India,4979289818,145588,26,22,2024-01-02,Tuesday,7,31,,2020,11,1.13,3,No
90,Joan Smith,Other,32,Finance,Auditor,4,2023-02-10,+33,France,1820163736,43235,38,12,2024-04-15,Monday,6,23,,2023,2,0.4,3,No
91,Richard Fuller,Other,60,IT,Tester,4,2021-10-16,+49,Germany,6486318394,56904,31,7,2024-10-14,Monday,15,37,,2021,4,2.63,3,No
92,Spencer Kennedy,Female,26,Finance,Accountant,1,2023-03-12,+1,USA,9786956994,62833,10,3,2024-04-26,Friday,5,63,,2024,2,7.5,5,No
93,Daniel Williams,Other,22,Sales,Account Manager,5,2021-12-06,+33,France,5040674588,133108,16,2,2024-01-05,Friday,11,47,5.0,2022,4,6.47,3,No
94,Bonnie Robinson,Male,35,Support,Helpdesk,1,2020-12-07,+1,USA,1513881007,65954,17,22,2024-03-27,Wednesday,3,41,5.0,2024,5,2.93,3,No
95,Amy Bowers,Female,58,Support,Support Engineer,4,2018-11-26,+91,India,5244147522,99805,6,23,2024-03-23,Saturday,15,6,10.0,2020,7,4.97,4,No
96,Cody Jackson,Female,43,Marketing,Content Lead,1,2011-02-10,+1,Canada,1511401995,156104,2,0,2024-03-22,Friday,12,20,,2011,14,9.6,3,No
97,Darlene Neal,Female,34,HR,HR Manager,4,2022-02-14,+33,France,6075902282,115105,29,12,2024-02-28,Wednesday,15,19,,2022,3,2.2,3,No
98,Joshua Garcia,Female,52,Marketing,Content Lead,5,2015-01-11,+33,France,3221984399,77462,22,18,2024-04-12,Friday,14,65,,2021,10,2.6,3,No
99,Peggy French,Female,58,HR,HR Executive,3,2013-10-22,+1,USA,1038317657,136059,1,18,2024-12-05,Thursday,12,69,,2024,12,6.8,4,No
100,Sean Davis DDS,Male,29,Sales,Account Manager,5,2019-04-18,+91,India,3249070690,152981,14,9,2024-02-10,Saturday,15,9,7.0,2019,6,5.7,3,No
101,Denise Rush,Other,43,HR,HR Manager,2,2014-12-07,+1,USA,7308120630,107081,31,29,2024-05-09,Thursday,15,80,,2014,11,-1.03,3,No
102,Matthew Glenn,Female,30,HR,HR Executive,2,2011-05-18,+91,India,9224209451,172259,38,22,2024-06-18,Tuesday,2,62,,2012,14,-1.27,5,No
103,Kathleen Reed,Female,51,Sales,Account Manager,2,2014-06-13,+1,USA,2520920357,50979,31,25,2024-02-06,Tuesday,13,52,2.0,2019,11,-0.37,4,No
104,Samuel Fletcher,Female,27,Support,Support Engineer,5,2016-05-24,+1,Canada,4037042671,98130,12,20,2024-12-26,Thursday,10,19,7.0,2020,9,4.27,4,No
105,Debra Holt,Other,59,Marketing,SEO Analyst,4,2018-11-13,+1,Canada,5147570630,117953,34,7,2024-06-11,Tuesday,15,8,,2019,7,2.03,3,No
106,Jennifer Roberts,Female,31,Finance,Accountant,4,2018-01-20,+1,USA,0580368469,149459,23,24,2024-06-13,Thursday,3,66,,2020,7,1.4,2,Yes
107,Kaitlyn Kramer,Other,33,IT,Developer,5,2012-09-06,+91,India,8068783545,68241,16,6,2024-04-25,Thursday,6,41,,2020,13,5.8,5,No
108,Paul Kennedy,Female,51,HR,HR Executive,4,2018-05-23,+1,USA,0852413579,47360,13,17,2024-02-15,Thursday,4,69,,2023,7,4.57,4,No
109,Joshua Eaton,Other,49,Support,Support Engineer,5,2018-10-17,+1,USA,8485840436,126122,5,20,2024-01-09,Tuesday,13,67,5.0,2018,7,5.67,4,No
110,David Guerrero,Other,33,IT,Developer,2,2012-09-12,+33,France,0653451854,77857,7,13,2024-03-20,Wednesday,9,61,,2016,13,6.43,4,No
111,Brian Wilson,Male,53,Support,Helpdesk,4,2021-07-06,+1,Canada,2814737348,50520,33,17,2024-04-13,Saturday,3,50,4.0,2021,4,0.57,3,No
112,Alexis Petty,Male,49,IT,Engineer,2,2010-06-20,+49,Germany,1568901642,113247,34,9,2024-10-22,Tuesday,4,30,,2010,15,1.7,1,Yes
113,David Matthews,Male,39,IT,Developer,5,2014-11-23,+1,Canada,2716612207,74074,17,30,2024-08-23,Friday,7,45,,2014,11,1.6,3,No
114,Melissa Snyder,Male,59,Support,Helpdesk,2,2023-01-06,+49,Germany,9066591048,152599,27,5,2024-08-19,Monday,7,64,2.0,2023,2,3.77,4,No
115,Dan Sullivan,Male,33,Sales,Account Manager,5,2022-03-05,+1,Canada,6758118761,156093,0,1,2024-08-15,Thursday,6,37,4.0,2022,3,9.83,3,No
116,Christine Burton,Other,22,Support,Helpdesk,4,2010-05-10,+49,Germany,4239843752,153900,16,3,2024-11-05,Tuesday,2,8,7.0,2022,15,6.3,3,No
117,Daniel Thomas,Other,43,Marketing,SEO Analyst,4,2012-03-27,+1,USA,8940789472,168316,29,1,2024-02-23,Friday,14,74,,2023,13,4.03,2,Yes
118,Paige Ortiz,Female,52,HR,HR Executive,4,2013-11-19,+44,UK,4798311105,31840,29,30,2024-04-24,Wednesday,4,59,,2017,12,-0.8,2,Yes
119,Brett Booth,Female,31,Finance,Auditor,3,2022-07-12,+33,France,5224570095,44728,6,7,2024-01-16,Tuesday,4,33,,2023,3,7.63,3,No
120,Christopher Stone,Other,59,Sales,Sales Executive,1,2010-10-01,+33,France,0079680184,144337,30,28,2024-05-18,Saturday,2,6,1.0,2024,15,-0.67,3,No
121,Larry Craig,Male,45,IT,Developer,3,2013-07-21,+1,USA,0153493196,78575,39,22,2024-08-19,Monday,10,60,,2022,12,-1.47,2,Yes
122,William Lee,Male,59,Support,Support Engineer,4,2014-04-13,+44,UK,5034755729,121058,19,6,2024-05-04,Saturday,4,35,10.0,2019,11,5.2,3,No
123,Vicki Young,Female,49,Finance,Auditor,4,2018-05-02,+91,India,0437696006,151344,12,22,2024-01-20,Saturday,15,51,,2021,7,3.93,4,No
124,Tara Lloyd,Female,44,IT,Engineer,5,2022-11-17,+1,USA,8730000204,67225,15,3,2024-01-03,Wednesday,4,42,,2024,3,6.5,3,No
125,Elizabeth Hunt,Female,22,Finance,Accountant,2,2015-08-27,+1,USA,6916151883,172135,0,13,2024-02-16,Friday,6,21,,2023,10,7.83,4,No
126,Jennifer Perkins,Male,60,IT,Developer,2,2017-01-12,+1,Canada,6409879093,91931,18,1,2024-12-13,Friday,6,49,,2023,8,6.23,3,No
127,Amanda Martin,Female,25,Sales,Sales Executive,1,2011-06-01,+49,Germany,9036907880,89066,4,5,2024-07-17,Wednesday,7,73,5.0,2015,14,8.37,3,No
128,Michelle Christensen,Other,47,HR,HR Executive,2,2020-01-03,+49,Germany,8252273685,72561,22,19,2024-01-18,Thursday,14,66,,2024,5,2.43,3,No
129,Christina Romero,Female,56,Support,Support Engineer,3,2017-07-09,+91,India,3664738504,68809,29,17,2024-06-28,Friday,13,12,1.0,2017,8,1.37,4,No
130,Leah Smith,Female,35,IT,Tester,5,2018-03-22,+33,France,8370570897,93279,2,14,2024-09-28,Saturday,13,35,,2022,7,7.27,5,No
131,Kenneth Jacobs,Female,27,Support,Helpdesk,3,2015-10-02,+1,USA,6255968515,55650,9,4,2024-07-14,Sunday,14,18,1.0,2019,10,7.53,3,No
132,Robert Smith,Other,59,HR,HR Executive,1,2018-12-21,+1,USA,9202581526,74552,11,5,2024-06-06,Thursday,11,8,,2021,7,6.97,5,No
133,Jamie Morgan,Other,55,Finance,Auditor,5,2019-09-09,+44,UK,5681556970,145869,22,5,2024-11-08,Friday,3,29,,2020,6,4.77,5,No
134,Shaun Diaz,Male,45,HR,HR Manager,4,2014-04-11,+1,USA,0869155906,148129,9,19,2024-11-05,Tuesday,14,8,,2022,11,5.03,3,No
135,Christy Sanders,Female,38,Marketing,Content Lead,3,2011-12-23,+1,USA,6484525060,44652,9,18,2024-12-26,Thursday,12,50,,2012,14,5.2,3,No
136,Gerald Simmons,Male,39,Marketing,SEO Analyst,2,2023-06-27,+44,UK,1962093789,178756,27,12,2024-01-21,Sunday,13,76,,2024,2,2.6,5,No
137,Nathaniel Bryant II,Female,56,Finance,Auditor,5,2016-12-28,+1,USA,3515157845,110538,32,3,2024-09-21,Saturday,4,38,,2018,9,3.1,3,No
138,Krista Kennedy,Female,40,IT,Engineer,5,2013-03-22,+1,USA,9807774783,39286,12,25,2024-04-18,Thursday,11,52,,2019,12,3.43,4,No
139,Amanda Smith,Male,30,IT,Developer,4,2021-11-18,+33,France,4865989878,55595,4,13,2024-05-11,Saturday,6,36,,2021,4,7.03,4,No
140,Dawn Burnett,Other,56,Sales,Account Manager,5,2022-06-28,+91,India,1074758757,168010,32,17,2024-09-07,Saturday,14,65,1.0,2022,3,0.77,5,No
141,Linda Hernandez,Other,50,IT,Tester,3,2015-11-12,+33,France,1661239513,71526,24,7,2024-06-21,Friday,3,10,,2022,10,4.03,2,Yes
142,Joshua Shaw,Male,23,Sales,Account Manager,1,2018-02-12,+44,UK,3532368724,152981,3,8,2024-05-06,Monday,14,56,9.0,2020,7,8.07,4,No
143,Timothy Andrade,Other,51,Support,Helpdesk,5,2019-12-03,+91,India,6086404161,60483,16,23,2024-12-06,Friday,8,38,6.0,2021,6,2.97,3,No
144,Kelsey Nichols,Other,53,Sales,Account Manager,2,2021-08-15,+49,Germany,8279117589,37564,10,0,2024-02-12,Monday,2,41,10.0,2021,4,8.0,3,No
145,Garrett Garcia,Male,52,Support,Support Engineer,2,2021-11-14,+1,USA,3615338133,103473,11,0,2024-01-11,Thursday,5,80,5.0,2023,4,7.8,3,No
146,John Brown,Male,43,HR,HR Manager,5,2011-01-18,+44,UK,8342776059,98618,6,1,2024-12-20,Friday,8,42,,2021,14,8.63,3,No
147,Brian Foster,Other,28,Sales,Account Manager,2,2015-07-01,+33,France,2635632250,69768,21,8,2024-11-10,Sunday,4,13,1.0,2019,10,4.47,4,No
148,Daniel Lam,Other,32,Sales,Account Manager,4,2014-09-04,+1,USA,1672748888,124262,16,27,2024-07-05,Friday,1,76,8.0,2022,11,2.3,4,No
149,Antonio Myers,Female,48,Support,Support Engineer,1,2014-05-04,+1,USA,4514876802,31181,32,1,2024-07-28,Sunday,10,15,10.0,2015,11,3.43,3,No
150,Mary Fowler,Male,48,Marketing,Content Lead,2,2015-08-20,+44,UK,4005304328,139956,35,0,2024-08-17,Saturday,10,10,,2019,10,3.0,3,No
151,David Wright,Other,34,HR,HR Executive,2,2019-04-17,+49,Germany,7224920410,53489,23,27,2024-10-07,Monday,3,51,,2019,6,0.9,3,No
152,Nancy Jones,Other,34,Sales,Account Manager,1,2020-02-16,+1,Canada,8266149618,123313,12,21,2024-12-14,Saturday,5,25,7.0,2020,5,4.1,4,No
153,Robert Stone,Other,52,IT,Tester,5,2021-01-08,+1,USA,4006855728,34410,3,8,2024-01-07,Sunday,3,26,,2022,4,8.07,4,No
154,Kelli Ashley,Male,54,Marketing,SEO Analyst,2,2016-06-01,+33,France,0887821115,35504,30,20,2024-08-18,Sunday,9,8,,2018,9,0.67,4,No
155,Austin Middleton,Other,41,HR,HR Executive,4,2017-10-21,+1,USA,1285235101,47809,37,20,2024-09-07,Saturday,2,71,,2023,8,-0.73,4,No
156,Aaron Franklin,Male,33,IT,Developer,1,2023-01-26,+49,Germany,1147094489,152793,30,14,2024-09-16,Monday,11,51,,2023,2,1.67,3,No
157,Robert Sweeney,Male,51,HR,HR Executive,2,2017-08-05,+44,UK,5061619629,144222,23,16,2024-09-07,Saturday,15,75,,2023,8,2.73,4,No
158,James Scott,Female,55,Marketing,Content Lead,5,2018-07-16,+1,Canada,0313634861,122095,15,0,2024-08-02,Friday,13,32,,2020,7,7.0,4,No
159,Stephen Harris,Other,60,Support,Support Engineer,3,2012-08-12,+44,UK,8885076357,176852,18,9,2024-06-18,Tuesday,2,62,3.0,2014,13,4.9,5,No
160,Bryan Brown,Male,51,Sales,Sales Executive,4,2010-05-11,+1,USA,9471210972,138076,2,15,2024-04-04,Thursday,7,47,3.0,2022,15,7.1,3,No
161,James Harrison,Male,53,Support,Helpdesk,1,2023-06-18,+49,Germany,6286762941,166057,33,17,2024-06-28,Friday,2,77,1.0,2024,2,0.57,3,No
162,Tracy Peterson,Female,35,Finance,Accountant,3,2021-11-06,+33,France,3976761507,81547,37,9,2024-03-04,Monday,3,30,,2021,4,1.1,4,No
163,Juan Garcia,Female,47,HR,HR Executive,4,2017-06-27,+1,Canada,0253325873,78148,5,10,2024-05-11,Saturday,4,22,,2024,8,7.33,5,No
164,Carrie Huber,Female,25,HR,HR Manager,2,2020-02-12,+91,India,8387775499,57534,39,3,2024-10-26,Saturday,15,14,,2022,5,1.7,3,No
